epoch,train_loss,valid_pr_auc,valid_macro_f1,valid_threshold
1,0.733309268951416,0.21736425369102247,0.5075755635220667,0.52
2,0.6941002607345581,0.25553774280188735,0.5447263826866815,0.53
3,0.6695060133934021,0.28980708494958923,0.5722595905903819,0.56
4,0.6430701613426208,0.315770687776771,0.5910162197788452,0.58
5,0.6248154044151306,0.33374464036117524,0.6057826368548167,0.6
6,0.6075509190559387,0.3470122621321889,0.6188220858416227,0.62
7,0.5924606919288635,0.35624397285298015,0.6254481010386522,0.64
8,0.5830986499786377,0.3628545476191963,0.6311555338859093,0.66
9,0.5732104182243347,0.3672094191224865,0.6330926976502362,0.68
10,0.562557578086853,0.37192777284035405,0.637352405155971,0.69
11,0.5547962188720703,0.374827233928244,0.6366638835647052,0.7
12,0.5469686985015869,0.377030545281584,0.6380426326568513,0.71
13,0.5442624092102051,0.3788823874347576,0.6390859506037023,0.72
14,0.5371397733688354,0.38000542923269426,0.6402656580880339,0.72
15,0.5347245335578918,0.3809311784788472,0.6383471292010823,0.73
16,0.5299259424209595,0.3813743142318278,0.6409643967655017,0.73
17,0.5238210558891296,0.3816303406831483,0.6407517805111326,0.73
18,0.5208566188812256,0.3815204811924395,0.63999494374921,0.73
19,0.5161182880401611,0.3815404992112419,0.6377463098422518,0.73
20,0.5134151577949524,0.38166007595570556,0.6389769675470814,0.73
21,0.508245587348938,0.3812573060278516,0.6413864649828073,0.73
22,0.5065253973007202,0.38105689563083633,0.6393509773512562,0.73
23,0.5048734545707703,0.3807898060666086,0.640095867528506,0.73
24,0.5004440546035767,0.38056708886952817,0.6396669045438473,0.73
25,0.49716633558273315,0.3806146971383556,0.6397643083572626,0.73
26,0.4944770038127899,0.3809873335926225,0.6399784637533377,0.73
27,0.4938797354698181,0.38127262202183754,0.6407758536453569,0.73
28,0.4928106665611267,0.3817140561496761,0.6417249534544356,0.73
29,0.489080548286438,0.3820478257458588,0.6420251855022832,0.73
30,0.48465695977211,0.38255741488336414,0.6399963258431152,0.74
31,0.4843372702598572,0.38325431855710795,0.6405903301099356,0.74
32,0.48202893137931824,0.38407394277328716,0.6421516554089954,0.74
33,0.48034369945526123,0.3850260968302356,0.6442940381766338,0.74
34,0.47992971539497375,0.38602701443131454,0.6445329667778272,0.74
35,0.47456657886505127,0.38676974486543203,0.6441649798782696,0.74
36,0.47458571195602417,0.3874210020900063,0.6453344707986213,0.74
37,0.4738699197769165,0.3880280224992176,0.6451171200363641,0.74
38,0.46896055340766907,0.38841343997104,0.6448999271388041,0.74
39,0.46981561183929443,0.38880805479686087,0.6448317555540862,0.74
40,0.46515965461730957,0.38919851902473235,0.6445461980693344,0.74
41,0.4629519581794739,0.3894378573883237,0.6443297484088799,0.74
42,0.46056050062179565,0.3898272625580933,0.6418321725479654,0.75
43,0.4632761478424072,0.39000190343410046,0.6419965944579766,0.75
44,0.4620187282562256,0.3901368869078271,0.6423220296732969,0.75
45,0.45939263701438904,0.3901301939041281,0.6438884616480105,0.75
46,0.4543994665145874,0.3900321308871964,0.6436707974897172,0.75
47,0.45487260818481445,0.39002271077612777,0.6432359539570129,0.75
48,0.45490628480911255,0.3901166934997593,0.6410222947914075,0.75
49,0.4544943571090698,0.39024860572453424,0.6405903301099356,0.75
50,0.45017120242118835,0.39052394143268176,0.6413998113484267,0.75
51,0.45118823647499084,0.39077664288658864,0.6413998113484267,0.75
52,0.4512590765953064,0.3911047912794464,0.6418326282117429,0.75
53,0.4456823170185089,0.39134320578868464,0.6424830554690859,0.75
54,0.443825900554657,0.39177529049396614,0.6440458609854873,0.75
55,0.44580861926078796,0.39186332086493325,0.6441062879073648,0.75
56,0.44165489077568054,0.39199173968426704,0.6441062879073648,0.75
57,0.4403296113014221,0.39199827742234883,0.6453549027041877,0.75
58,0.4374415874481201,0.3920461026337582,0.6447607431073425,0.75
59,0.4383733570575714,0.39217606794923615,0.6455736475853577,0.75
60,0.4394817054271698,0.3924038615039248,0.6443840977251115,0.75
61,0.4384325444698334,0.39301578346929694,0.6440063812738673,0.75
62,0.43751516938209534,0.393054109461109,0.6442246519594585,0.75
63,0.4335651397705078,0.39291126323860087,0.6429740763057357,0.75
64,0.43235230445861816,0.39286202710468177,0.642377119860933,0.75
65,0.4308404326438904,0.39286322444178856,0.6421598780761022,0.75
66,0.42829757928848267,0.3928686478911184,0.6437299538047796,0.75
67,0.4292208254337311,0.39307951866993085,0.6451363216793213,0.75
68,0.42699509859085083,0.3931445039563479,0.6451363216793213,0.75
69,0.42508238554000854,0.39348820140940316,0.6443242766488392,0.75
70,0.4246949553489685,0.3937115033049842,0.6456656750424362,0.75
71,0.42699500918388367,0.3940372602153449,0.6458194207836456,0.75
72,0.42252764105796814,0.3939958831672015,0.6433935264054514,0.75
73,0.41945141553878784,0.3939724154465331,0.643176402914882,0.75
74,0.42139923572540283,0.3939177512839789,0.6439846103827984,0.75
75,0.42057615518569946,0.39379195435084036,0.6456010253186313,0.75
76,0.41686883568763733,0.39338425960878093,0.6459720808347797,0.75
77,0.4159177541732788,0.3925315438052882,0.6463420931034922,0.75
78,0.41509732604026794,0.39174118903841815,0.6463420931034922,0.75
79,0.4152737855911255,0.39121850651810164,0.6459720808347797,0.75
80,0.4145605266094208,0.3907103847056175,0.6451647195596026,0.75
81,0.4105975031852722,0.39041881065012657,0.645753747582205,0.75
82,0.412272185087204,0.39034468991390386,0.645382791703271,0.75
83,0.4110569655895233,0.3904688703542794,0.6456656750424362,0.75
84,0.41247284412384033,0.39054600325212274,0.6446996496624797,0.75
85,0.410641610622406,0.3909814516356652,0.64588429531342,0.75
86,0.40813910961151123,0.39089863406909187,0.6462566987793735,0.75
87,0.4070340692996979,0.39064590394947385,0.6462566987793735,0.75
88,0.40617281198501587,0.39042730641438855,0.6474366837024418,0.75
89,0.40324580669403076,0.3903653560758334,0.6486139279975464,0.75
90,0.4017915427684784,0.3903481510174124,0.6486139279975464,0.75
91,0.3980295658111572,0.39011521750953704,0.6478756612563558,0.75
92,0.4014807343482971,0.39029324504847396,0.6475049621540908,0.75
93,0.3975125551223755,0.3904686207459367,0.6475049621540908,0.75
94,0.3940064609050751,0.3906483273129771,0.6484651466248377,0.75
95,0.39704346656799316,0.3910228730663299,0.6473676257253385,0.75
96,0.396717369556427,0.3914286551769467,0.6464092327865478,0.75
97,0.39440035820007324,0.39179292668653576,0.6467794421099571,0.75
98,0.39459696412086487,0.392040144305527,0.6478838412312197,0.75
99,0.39240989089012146,0.3924206936398037,0.6465719811417762,0.75
100,0.3921506702899933,0.39273328851827227,0.6483214801263292,0.75
101,0.3902088403701782,0.39287814876009136,0.6479577355861139,0.75
