epoch,train_loss,valid_pr_auc,valid_macro_f1,valid_threshold
1,0.7741533517837524,0.23927514653540033,0.5385195486887938,0.67
2,0.7309213876724243,0.2794179324332271,0.5702588728613671,0.65
3,0.6944504976272583,0.3095186065217665,0.5947511140184617,0.64
4,0.6611344218254089,0.32773529263026213,0.5988596598297813,0.65
5,0.6403161883354187,0.3389480201513668,0.6107358088618811,0.64
6,0.6170289516448975,0.3442917656247331,0.6180428093215183,0.63
7,0.6061816215515137,0.3480001735210105,0.6127285197751289,0.64
8,0.5909678936004639,0.3501741477947882,0.6197727380047822,0.64
9,0.578948974609375,0.3530755021694634,0.6232332760209349,0.64
10,0.5688162446022034,0.35543352233861225,0.624815626384699,0.65
11,0.5600288510322571,0.3577065564111093,0.6261224633620681,0.66
12,0.5538048148155212,0.35989200179603076,0.6245001045946812,0.67
13,0.5502365231513977,0.3619627526027683,0.6273589415009662,0.67
14,0.5417234897613525,0.36386535528020886,0.6278439554030105,0.68
15,0.5354044437408447,0.36543995633408377,0.6276691322201131,0.69
16,0.5309425592422485,0.3671245071506614,0.6280521534542793,0.7
17,0.5267247557640076,0.36849866170317125,0.6270770890780482,0.71
18,0.5240097045898438,0.36974859272372257,0.6255558755803801,0.72
19,0.5205751061439514,0.37111800530022687,0.6274804648106989,0.73
20,0.5196939706802368,0.3722074610811819,0.6311222007256375,0.73
21,0.5109684467315674,0.37350622661824384,0.6287769003065704,0.74
22,0.5119675397872925,0.37473574793425113,0.6315845658210683,0.74
23,0.5058915019035339,0.37576843745406163,0.6287633350582674,0.75
24,0.5094431638717651,0.37673442737335466,0.6314749695917458,0.75
25,0.5034117102622986,0.37737561907826267,0.6338202499462742,0.75
26,0.5023267269134521,0.37795081593646224,0.6331434820762499,0.75
27,0.4980486333370209,0.37810065471619136,0.6327626993156004,0.75
28,0.49348899722099304,0.37840477635567316,0.6348815987468758,0.75
29,0.49627092480659485,0.37840321453021764,0.6335552770585523,0.75
30,0.4905233085155487,0.3785768708202579,0.6346571168956118,0.75
31,0.48839882016181946,0.3787773348856627,0.638113848843981,0.74
32,0.486317902803421,0.3789641040859886,0.6390810454381968,0.74
33,0.481950968503952,0.37917170525741806,0.6377979089407664,0.74
34,0.48218849301338196,0.37926088781230316,0.6380626966416799,0.74
35,0.4808166027069092,0.37947911737070067,0.6362038263440182,0.74
36,0.4786078631877899,0.37998372647252365,0.6374753167518914,0.73
37,0.4778214991092682,0.3802238259866892,0.6374753167518914,0.73
38,0.47768262028694153,0.38096044518603694,0.6382694562551732,0.73
39,0.47018077969551086,0.38159083785027714,0.6375760421649808,0.74
40,0.46920347213745117,0.38223608876012066,0.6369313584893287,0.74
41,0.46819689869880676,0.3829506592887197,0.6390704117612359,0.74
42,0.4669519066810608,0.38346307580220024,0.6385912945304012,0.74
43,0.46563437581062317,0.3844321594919071,0.6395131906333619,0.74
44,0.4651927053928375,0.38529379639587663,0.6407985264640554,0.74
45,0.4623578190803528,0.38608524013611734,0.6409287866843344,0.74
46,0.46234822273254395,0.38686804698397664,0.6370911029931823,0.75
47,0.46054497361183167,0.3874649056728604,0.6402469103394639,0.75
48,0.46033775806427,0.38782152565846045,0.6435703313583498,0.75
49,0.45557719469070435,0.38847937400987775,0.6438282550639002,0.75
50,0.45406171679496765,0.3891424333943883,0.6441398694390716,0.75
51,0.45391324162483215,0.38965842811202495,0.6439225407187954,0.75
52,0.45251262187957764,0.39005269473452914,0.6450997141943537,0.75
53,0.44773030281066895,0.39069386304593207,0.6446644934939051,0.75
54,0.4485996663570404,0.3914494464806575,0.6450997141943537,0.75
55,0.4462815225124359,0.3918588599627879,0.6442940381766338,0.75
56,0.4468894600868225,0.3923950529224027,0.6447290581803611,0.75
57,0.44344082474708557,0.39308555892790775,0.6449468085106382,0.75
58,0.44470953941345215,0.3934086500820866,0.6449468085106382,0.75
59,0.44143152236938477,0.39383603174739246,0.6445114681937213,0.75
60,0.4418312609195709,0.39399849010884075,0.6445114681937213,0.75
61,0.44052794575691223,0.3940000891116259,0.6447290581803611,0.75
62,0.4390498995780945,0.39416719706991216,0.6443573582844253,0.75
63,0.4387088119983673,0.3941047648244086,0.6429594394825644,0.75
64,0.43563613295555115,0.39402770818698113,0.6429594394825644,0.75
65,0.43351683020591736,0.3940537083394953,0.6433329303675048,0.75
66,0.4341074526309967,0.3943126100509692,0.6433329303675048,0.75
67,0.43375805020332336,0.39423377136994775,0.6431160232572298,0.75
68,0.4321593642234802,0.39429134877386174,0.6420931788617058,0.75
69,0.4267235994338989,0.39428236416692886,0.6416609992113315,0.75
70,0.4276522696018219,0.3944860593605309,0.6418179099514127,0.75
71,0.4279167354106903,0.3950535603577355,0.642560312369265,0.75
72,0.42844125628471375,0.3950976305819993,0.642929958736239,0.75
73,0.4206189811229706,0.39501816917468074,0.6427138499688902,0.75
74,0.42304909229278564,0.39517548231813304,0.6430767805872002,0.76
75,0.4220130145549774,0.3952663193874479,0.6426395876468292,0.76
76,0.41932961344718933,0.39527790017595504,0.6420342434745464,0.76
77,0.42115679383277893,0.39521908975096137,0.6430697052179802,0.77
78,0.4177834093570709,0.39512248880397827,0.642848043212393,0.77
79,0.41815194487571716,0.3951248663991565,0.6428663104968432,0.75
80,0.4152432680130005,0.39507170755780296,0.6434498521822348,0.75
81,0.4114685654640198,0.3949428916354982,0.6428663104968432,0.75
