epoch,train_loss,valid_pr_auc,valid_macro_f1,valid_threshold
1,0.69048672914505,0.3429559048931221,0.6150280306600848,0.54
2,0.6683738231658936,0.36917156981371235,0.6342483030311619,0.55
3,0.6500784754753113,0.3782164704756904,0.6400482068116677,0.56
4,0.6353827118873596,0.38325572881122894,0.6399332277415317,0.58
5,0.6175597906112671,0.38707147759344684,0.6423681954469656,0.6
6,0.6015493273735046,0.39014853990186343,0.6408945005822191,0.64
7,0.5842905044555664,0.3922060362525694,0.6445461980693344,0.65
8,0.5726609230041504,0.3942076483337647,0.6436427042162288,0.68
9,0.5627033114433289,0.39615327692950447,0.6438282550639002,0.71
10,0.5518891215324402,0.3981673863723303,0.6438957163162955,0.75
11,0.5491712689399719,0.4006179519948705,0.6457773626103557,0.75
12,0.5424755811691284,0.4025222424214781,0.6468655679380879,0.77
13,0.5364353656768799,0.40463177815446616,0.6483893133158476,0.78
14,0.5348814129829407,0.40663598514886906,0.6489789824052827,0.79
15,0.5351226329803467,0.40861958198307213,0.6481438989904001,0.81
16,0.5312556028366089,0.410966571432643,0.6499236601713118,0.8
17,0.5299009680747986,0.4134043003035728,0.650564155007513,0.8
18,0.5156455039978027,0.4159282939435785,0.6511811978728856,0.8
19,0.5176944732666016,0.41831805517377246,0.6549069591121566,0.79
20,0.5150106549263,0.42060870929686,0.6553845593841294,0.79
21,0.509077787399292,0.423425378221333,0.6545450981160925,0.78
22,0.5036992430686951,0.4252149505102151,0.654100141790019,0.77
23,0.5018271803855896,0.4268767494939649,0.6531785621696613,0.76
24,0.4962710738182068,0.4290158016683735,0.6525217613927291,0.76
25,0.49479228258132935,0.4303754811810908,0.6536558499015837,0.75
26,0.49152034521102905,0.43135043414464547,0.6558600520757771,0.75
27,0.491074800491333,0.4322788484534889,0.6572107486842594,0.75
28,0.4890466034412384,0.43303471244466274,0.6577470243950423,0.75
29,0.4886074662208557,0.43433162028782796,0.6583942946343853,0.75
30,0.4832506477832794,0.4350878472041452,0.6585801192336016,0.75
31,0.48067426681518555,0.43574247090104845,0.6574874954158771,0.76
32,0.47685590386390686,0.4365998863075525,0.6567272088467648,0.76
33,0.4806745946407318,0.4371912659377808,0.6563659132242635,0.76
34,0.4780499041080475,0.4380882673165067,0.6574866372751746,0.77
35,0.47073128819465637,0.4386729563385006,0.6569851954252672,0.77
36,0.46940356492996216,0.4389669157333244,0.6573425892472531,0.79
37,0.4691128432750702,0.4387700673723681,0.6599352387258284,0.77
38,0.46628132462501526,0.4385437394784005,0.6570404725773413,0.78
39,0.4667235016822815,0.43844474791188526,0.6581738192151758,0.78
40,0.460460364818573,0.43826575944501456,0.6608594074116727,0.78
41,0.45906147360801697,0.43828965806187453,0.6591515583118206,0.78
