split,threshold,pr_auc,roc_auc,macro_f1,precision,recall,accuracy,tn,fp,fn,tp
train,0.794,0.6220520667172754,0.9101729822698172,0.74427570590175,0.6430180180180181,0.4814502529510961,0.8909176029962547,14082,634,1230,1142
valid,0.794,0.4441336701873743,0.7850414258704338,0.6600831978094555,0.4689863842662632,0.4036458333333333,0.81062734082397,3153,351,458,310
test,0.794,0.5288475351597811,0.8051183537691758,0.6962006747836291,0.5273052820053715,0.5148601398601399,0.7972289833364539,3669,528,555,589
