review_count_bin,product_week_units,reviews,fake,fake_rate
1~4,266660,427929,58980,0.1378266020765127
5~7,16375,92899,10340,0.1113036738823884
8~10,4281,37423,4062,0.10854287470272292
11~15,2061,25478,3084,0.12104560797550828
16~20,617,10891,1544,0.1417684326508126
21+,483,13838,2429,0.17553114611938142
